,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,1996-09-29,100,28 39 53.0,24 49 02.0,1,G19895,"M, G, Y","G, Y, R",4450,286,60,35337,1996-07-31,1996-06-05,,,,,,
,1996-09-28,104,28 40 33.3,24 48 57.4,5,,,,,,,,,,,,,,,
,1996-09-29,123,28 33 31.7,24 52 14.1,5,,,,,,,,,,,,,,,
,1996-09-29,124,28 33 27.0,24 52 01.7,15,,,,,,,,,,,,,,,
,1996-09-29,133,28 33 12.2,24 51 00.2,1,G19896,"M, G, Y","G, Y, Y",5600,410,79,35337,1996-07-12,1996-05-17,,,,,,
,1996-09-29,134,28 33 13.3,24 51 00.4,1,G19898,"M, G, Y","G, G, Y",4600,362,72,35337,1996-07-19,1996-05-24,,,,,,
,1996-09-29,135,28 33 16.1,24 50 50.0,2,,,,300,29,8,35337,1996-09-21,1996-07-27,,,,,,
,1996-09-29,139,28 33 21.7,24 50 40.8,5,,,,,,,,,,,,,,,
,1996-09-29,168,28 35 57.3,24 50 37.7,1,G19897,"M, G, Y","B, G, Y",4300,280,60,35337,1996-07-31,1996-06-05,,,,,,
,1996-09-29,368,28 40 33.5,24 47 42.5,1,G19890,"M, G, Y","W, R, Y",5400,368,72,35337,1996-07-19,1996-05-24,,,,,,
,1996-09-29,B 1996,28 33 08.3,24 51 10.5,1,G19899,"M, G, Y","Y, G, Y",4800,343,69,35337,1996-07-22,1996-05-27,,,,,,
,TOTALS,61,,,61,31,31,,3999,278,58,,1996-08-01,1996-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 04 to 05 October 1997 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,1997-10-05,4,28 40 27.0,24 50 29.2,1,G20306,"M, G, Y","B, G, G",4000,370,73,35708,1997-07-24,1997-05-29,,,,,,
,1997-10-04,9,28 39 05.7,24 47 21.7,1,G21291,"M, G, Y","B, W, B",3800,315,64,35707,1997-08-01,1997-06-06,,,,,,
,1997-10-04,16,28 40 04.1,24 47 49.0,3,,,,,,,,,,,,,,,
